,0,1
988,K-022978,200800691
989,K-029727,201205549
990,K-037351,201506398
991,K-003487,199102092
992,K-000143,197100057
993,K-029495,201202397
994,K-025438,200902214
995,K-052620,202005385
996,K-026620,200906330
997,K-023497,200804089
998,K-011327,200109233
999,K-009360,200002646
1000,K-033621,201403389
1001,K-034575,201405135
1002,K-032048,201309882
1003,K-032020,201309808
1004,K-004895,199403378
1005,K-008120,199902459
1006,K-033003,201401944
1007,K-024339,200807882
1008,K-023357,200803211
1009,K-003212,199100118
1010,K-016560,200500280
1011,K-000208,197300150
1012,K-027524,201003713
1013,K-008834,200000796
1014,K-006076,199700379
1015,K-037748,201507597
1016,K-009410,200002787
1017,K-011047,200103187
1018,K-005556,199600581
1019,K-032268,201310589
1020,K-015217,200402510
1021,K-000059,196400046
1022,K-000112,197000037
1023,K-022355,200710799
1024,K-052618,202005383
1025,K-009027,200001896
1026,K-031042,201306984
1027,K-030636,201302166
1028,K-020852,200703673
1029,K-012644,200300103
1030,K-025287,200901321
1031,K-032505,201400318
1032,K-024850,200810688
1033,K-024350,200807945
1034,K-033009,201401963
1035,K-035206,201500365
1036,K-023698,200805389
1037,K-018969,200603879
1038,K-032252,201310515
1039,K-029896,201206444
1040,K-022306,200710567
1041,K-026136,200905018
1042,K-002298,198801226
1043,K-030846,201306123
1044,K-021819,200708534
1045,K-022491,200711589
1046,K-008452,199906954
1047,K-038547,201601510
1048,K-015236,200402560
1049,K-035328,201500644
1050,K-021586,200707385
1051,K-007029,199801067
1052,K-000256,197400277
1053,K-035208,201500367
1054,K-024941,200811061
1055,K-003102,199001340
1056,K-030356,201208632
1057,K-002259,198800911
1058,K-003647,199200476
1059,K-032138,201310133
1060,K-017431,200502039
1061,K-030233,201207515
1062,K-019469,200607018
1063,K-017633,200502416
1064,K-035934,201502216
1065,K-007402,199803145
1066,K-007388,199803095
1067,K-020769,200703280
1068,K-039136,201603058
1069,K-024302,200807669
1070,K-036805,201504206
1071,K-010732,200101637
1072,K-007243,199802000
1073,K-034460,201404976
1074,K-024279,200807582
1075,K-024950,200811106
1076,K-003244,199100413
1077,K-006559,199702165
1078,K-005818,199602408
1079,K-023379,200803292
1080,K-012968,200300826
1081,K-023808,200805843
1082,K-025319,200901548
1083,K-036787,201504178
1084,K-022661,200712742
1085,K-014110,200400215
1086,K-015660,200403411
1087,K-000124,197000102
1088,K-035803,201501709
1089,K-001822,198700096
1090,K-005807,199602310
1091,K-019080,200604244
1092,K-025214,200900891
1093,K-037065,201505072
1094,K-011651,200200775
1095,K-033376,201402893
1096,K-002483,198801531
1097,K-016222,200410071
1098,K-005881,199602997
1099,K-026561,200905943
1100,K-036554,201503487
1101,K-031884,201309417
1102,K-027026,201000876
1103,K-020235,200700890
1104,K-010442,200100565
1105,K-028052,201100231
1106,K-018187,200511262
1107,K-031428,201308278
1108,K-011846,200201482
1109,K-017442,200502054
1110,K-018720,200600722
1111,K-020326,200701246
1112,K-052957,202006982
